photo_file	exif_datetime_original	camera_make	camera_model	canon_image_number	inferred_photo_number	GPSwpt	Site	IndivID	Pics	association_confidence	association_basis	notes
IMG_5749.JPG	2023:06:12 04:18:45	Canon	Canon PowerShot D10	5749	37	72	HonoluaAdjacentInnerSide	34	37-38	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5750.JPG	2023:06:12 04:18:52	Canon	Canon PowerShot D10	5750	38	72	HonoluaAdjacentInnerSide	34	37-38	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5751.JPG	2023:06:12 04:28:28	Canon	Canon PowerShot D10	5751	39	73	HonoluaAdjacentInnerSide	35	39-40	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5752.JPG	2023:06:12 04:28:34	Canon	Canon PowerShot D10	5752	40	73	HonoluaAdjacentInnerSide	35	39-40	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5753.JPG	2023:06:12 04:39:47	Canon	Canon PowerShot D10	5753	41	73	HonoluaAdjacentInnerSide	36	41-42	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5754.JPG	2023:06:12 04:39:54	Canon	Canon PowerShot D10	5754	42	73	HonoluaAdjacentInnerSide	36	41-42	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5755.JPG	2023:06:12 04:47:33	Canon	Canon PowerShot D10	5755	43	74	HonoluaAdjacentInnerSide	37	43-44	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5756.JPG	2023:06:12 04:47:40	Canon	Canon PowerShot D10	5756	44	74	HonoluaAdjacentInnerSide	37	43-44	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5757.JPG	2023:06:12 04:47:51	Canon	Canon PowerShot D10	5757	45	74	HonoluaAdjacentInnerSide	38	45-46	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5758.JPG	2023:06:12 04:56:44	Canon	Canon PowerShot D10	5758	46	74	HonoluaAdjacentInnerSide	38	45-46	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5759.JPG	2023:06:12 04:56:51	Canon	Canon PowerShot D10	5759	47	75	HonoluaAdjacentInnerSide	39	47-48	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5760.JPG	2023:06:12 05:07:17	Canon	Canon PowerShot D10	5760	48	75	HonoluaAdjacentInnerSide	39	47-48	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5761.JPG	2023:06:12 05:07:22	Canon	Canon PowerShot D10	5761	49	75	HonoluaAdjacentInnerSide	40	49-50	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5762.JPG	2023:06:12 05:19:34	Canon	Canon PowerShot D10	5762	50	75	HonoluaAdjacentInnerSide	40	49-50	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5763.JPG	2023:06:12 05:19:39	Canon	Canon PowerShot D10	5763	51	75	KahuluiBreakwaterConcreteInside	41	51-52	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5764.JPG	2023:06:12 05:27:30	Canon	Canon PowerShot D10	5764	52	75	KahuluiBreakwaterConcreteInside	41	51-52	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5765.JPG	2023:06:12 05:27:38	Canon	Canon PowerShot D10	5765	53	75	KahuluiBreakwaterConcreteInside	42	53-54	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5766.JPG	2023:06:12 05:27:44	Canon	Canon PowerShot D10	5766	54	75	KahuluiBreakwaterConcreteInside	42	53-54	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5767.JPG	2023:06:12 05:35:14	Canon	Canon PowerShot D10	5767	55	76	KahuluiBreakwaterConcreteInside	43	55-56	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5768.JPG	2023:06:12 05:35:20	Canon	Canon PowerShot D10	5768	56	76	KahuluiBreakwaterConcreteInside	43	55-56	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5769.JPG	2023:06:12 05:39:36	Canon	Canon PowerShot D10	5769	57	76	KahuluiBreakwaterConcreteInside	44	57-58	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5770.JPG	2023:06:12 05:39:47	Canon	Canon PowerShot D10	5770	58	76	KahuluiBreakwaterConcreteInside	44	57-58	High	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
IMG_5771.JPG	2023:06:12 05:39:50	Canon	Canon PowerShot D10	5771	59	77	KahuluiBreakwaterConcreteInside	45	59-60	Medium	Canon filename order anchored at DataOpihiMorphologyMicrohabitat.csv row with IndivID 29; Pics field contains this inferred photo number, but paired photo 60 is not present in pictures/.	EXIF camera date appears inconsistent with field waypoint dates; association uses Canon filename order and Pics sequence, not timestamp.
